TESTACC;DATABASE;AMForest
ACSF1;ACSF1;0.83
Adiac;Adiac;0.7519181585677749
ArrowHead;ArrowHead;0.6857142857142857
Beef;Beef;0.7
BeetleFly;BeetleFly;0.9
BirdChicken;BirdChicken;0.9
BME;BME;1.0
Car;Car;0.7833333333333333
CBF;CBF;0.9766666666666667
Chinatown;Chinatown;0.9766763848396501
ChlorineConcentration;ChlorineConcentration;0.7432291666666667
CinCECGTorso;CinCECGTorso;0.9536231884057971
Coffee;Coffee;1.0
Computers;Computers;0.768
CricketX;CricketX;0.7102564102564103
CricketY;CricketY;0.7487179487179487
CricketZ;CricketZ;0.7410256410256411
Crop;Crop;0.7726190476190476
DiatomSizeReduction;DiatomSizeReduction;0.954248366013072
DistalPhalanxOutlineAgeGroup;DistalPhalanxOutlineAgeGroup;0.7553956834532374
DistalPhalanxOutlineCorrect;DistalPhalanxOutlineCorrect;0.7717391304347826
DistalPhalanxTW;DistalPhalanxTW;0.6906474820143885
Earthquakes;Earthquakes;0.7482014388489209
ECG200;ECG200;0.84
ECG5000;ECG5000;0.9411111111111111
ECGFiveDays;ECGFiveDays;0.9825783972125436
ElectricDevices;ElectricDevices;0.7318116975748931
EOGVerticalSignal;EOGHorizontalSignal;0.5331491712707183
EthanolLevel;EthanolLevel;0.49
FaceAll;FaceAll;0.7940828402366864
FaceFour;FaceFour;0.9772727272727273
FacesUCR;FacesUCR;0.8985365853658537
FiftyWords;FiftyWords;0.7670329670329671
Fish;Fish;0.8685714285714285
FordA;FordA;0.9393939393939394
FreezerRegularTrain;FreezerRegularTrain;0.9898245614035087
FreezerSmallTrain;FreezerSmallTrain;0.872280701754386
GunPoint;GunPoint;0.96
GunPointAgeSpan;GunPointAgeSpan;0.9936708860759493
GunPointMaleVersusFemale;GunPointMaleVersusFemale;1.0
GunPointOldVersusYoung;GunPointOldVersusYoung;1.0
Ham;Ham;0.6857142857142857
Haptics;Haptics;0.4707792207792208
Herring;Herring;0.578125
HouseTwenty;HouseTwenty;0.9243697478991597
InlineSkate;InlineSkate;0.42363636363636364
InsectEPGRegularTrain;InsectEPGRegularTrain;1.0
InsectEPGSmallTrain;InsectEPGSmallTrain;1.0
InsectWingbeatSound;InsectWingbeatSound;0.6686868686868687
ItalyPowerDemand;ItalyPowerDemand;0.9689018464528668
LargeKitchenAppliances;LargeKitchenAppliances;0.6133333333333333
Lightning2;Lightning2;0.7868852459016393
Lightning7;Lightning7;0.7671232876712328
Mallat;Mallat;0.9616204690831557
Meat;Meat;0.9333333333333333
MedicalImages;MedicalImages;0.8026315789473685
MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineAgeGroup;0.577922077922078
MiddlePhalanxOutlineCorrect;MiddlePhalanxOutlineCorrect;0.8213058419243986
MiddlePhalanxTW;MiddlePhalanxTW;0.5714285714285714
MixedShapesRegularTrain;MixedShapesRegularTrain;0.9352577319587629
MixedShapesSmallTrain;MixedShapesSmallTrain;0.871340206185567
MoteStrain;MoteStrain;0.9121405750798722
OliveOil;OliveOil;0.9333333333333333
OSULeaf;OSULeaf;0.640495867768595
PhalangesOutlinesCorrect;PhalangesOutlinesCorrect;0.8298368298368298
Phoneme;Phoneme;0.27162447257383965
PigAirwayPressure;PigAirwayPressure;0.22596153846153846
PigArtPressure;PigArtPressure;0.46153846153846156
PigCVP;PigCVP;0.3269230769230769
PowerCons;PowerCons;1.0
ProximalPhalanxOutlineAgeGroup;ProximalPhalanxOutlineAgeGroup;0.8536585365853658
ProximalPhalanxOutlineCorrect;ProximalPhalanxOutlineCorrect;0.8762886597938144
ProximalPhalanxTW;ProximalPhalanxTW;0.8292682926829268
RefrigerationDevices;RefrigerationDevices;0.5626666666666666
Rock;Rock;0.8
ScreenType;ScreenType;0.4826666666666667
SemgHandGenderCh2;SemgHandGenderCh2;0.9666666666666667
SemgHandMovementCh2;SemgHandMovementCh2;0.8555555555555555
SemgHandSubjectCh2;SemgHandSubjectCh2;0.92
ShapeletSim;ShapeletSim;0.9333333333333333
ShapesAll;ShapesAll;0.85
SmallKitchenAppliances;SmallKitchenAppliances;0.8213333333333334
SmoothSubspace;SmoothSubspace;0.9933333333333333
SonyAIBORobotSurface1;SonyAIBORobotSurface1;0.8618968386023295
SonyAIBORobotSurface2;SonyAIBORobotSurface2;0.8289611752360966
StarLightCurves;StarLightCurves;0.9729237493929092
Strawberry;Strawberry;0.9675675675675676
SwedishLeaf;SwedishLeaf;0.9392
Symbols;Symbols;0.9366834170854271
SyntheticControl;SyntheticControl;0.9933333333333333
ToeSegmentation1;ToeSegmentation1;0.8070175438596491
ToeSegmentation2;ToeSegmentation2;0.9
Trace;Trace;0.99
TwoLeadECG;TwoLeadECG;0.8498683055311677
TwoPatterns;TwoPatterns;0.9985
Wafer;Wafer;0.9980532121998702
Wine;Wine;0.7037037037037037
WordSynonyms;WordSynonyms;0.664576802507837
Worms;Worms;0.6103896103896104
WormsTwoClass;WormsTwoClass;0.7532467532467533
Yoga;Yoga;0.8493333333333334
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;EOGVerticalSignal;0.505524861878453
;FordB;0.7913580246913581
;HandOutlines;0.9162162162162162
;NonInvasiveFetalECGThorax1;0.9119592875318067
;NonInvasiveFetalECGThorax2;0.9307888040712469
;Plane;1.0
;UMD;0.9930555555555556
;UWaveGestureLibraryAll;0.96035734226689
;UWaveGestureLibraryX;0.8140703517587939
;UWaveGestureLibraryY;0.7292015633724176
;UWaveGestureLibraryZ;0.7557230597431602
